Ref,Val,Package,PosX,PosY,Rot,Side
"","","",175.500000,-146.250000,0.000000,top
"","","",102.700000,-146.750000,0.000000,top
"","","",103.250000,-92.500000,0.000000,top
"C1","10uF","C_0201_0603Metric",111.200000,-114.605000,-90.000000,top
"C2","10uF","C_0201_0603Metric",108.775000,-100.525000,90.000000,top
"C3","220uF","C_0201_0603Metric",109.750000,-114.605000,-90.000000,top
"C4","100uF","C_0201_0603Metric",120.000000,-147.500000,180.000000,top
"C5","100nF","C_0201_0603Metric",139.250000,-112.500000,0.000000,top
"C6","0.1uF","C_0201_0603Metric",139.355000,-122.100000,180.000000,top
"C7","0.1uF","C_0201_0603Metric",150.150000,-114.350000,-90.000000,top
"C8","10uF","C_0201_0603Metric",150.600000,-118.995000,-90.000000,top
"C9","100nF","C_0201_0603Metric",113.150000,-111.570000,-90.000000,top
"C10","100nF","C_0201_0603Metric",170.600000,-109.495000,-90.000000,top
"C11","100nF","C_0201_0603Metric",163.235000,-116.250000,0.000000,top
"C12","100nF","C_0201_0603Metric",159.650000,-116.250000,0.000000,top
"C13","100nF","C_0201_0603Metric",158.355000,-103.950000,0.000000,top
"C14","22pF","C_0201_0603Metric",135.467500,-116.740000,0.000000,top
"C15","22pF","C_0201_0603Metric",135.812500,-121.490000,0.000000,top
"C16","0.1uF","C_0201_0603Metric",170.975000,-131.692500,-90.000000,top
"C17","0.1uF","C_0201_0603Metric",149.805000,-111.675000,180.000000,top
"D1","SS34","D_SMA",134.250000,-142.000000,-90.000000,top
"D3","LED","LED_0201_0603Metric",150.750000,-116.575000,180.000000,top
"F1","Fuse","Fuse_0402_1005Metric",137.500000,-146.500000,180.000000,top
"FB1","FerriteBead","L_0201_0603Metric",149.755000,-112.975000,0.000000,top
"J1","Conn_01x02_Pin","PinSocket_1x02_P1.27mm_Vertical",160.475000,-147.950000,-90.000000,top
"J2","DE9_Pins","DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset9.40mm",111.050331,-122.095000,-90.000000,top
"J3","DE9_Pins","DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset9.40mm",168.640000,-100.275331,180.000000,top
"J4","Conn_01x05_Pin","PinSocket_1x05_P1.27mm_Vertical",143.700000,-90.750000,-90.000000,top
"J5","Conn_01x02_Pin","PinSocket_1x02_P1.27mm_Vertical",148.225000,-147.625000,-90.000000,top
"L1","33uH","L_6.3x6.3_H3",127.750000,-141.500000,-90.000000,top
"M1","Motor_DC_ALT","TerminalBlock_CUI_TB007-508-02_1x02_P5.08mm_Horizontal",171.805000,-124.300000,180.000000,top
"Q1","IRLZ44N","TO-220-3_Vertical",143.625000,-143.975000,0.000000,top
"R1","4k7Ω","R_0201_0603Metric",156.585370,-123.870000,-90.000000,top
"R2","4k7Ω","R_0201_0603Metric",155.035370,-123.845000,-90.000000,top
"R3","10kΩ","R_0201_0603Metric",137.180000,-101.750000,0.000000,top
"R4","10KΩ","R_0201_0603Metric",150.500000,-99.750000,-90.000000,top
"R5","470Ω","R_0201_0603Metric",139.155000,-113.825000,0.000000,top
"R6","100Ω","R_0201_0603Metric",143.665000,-139.725000,0.000000,top
"R7","120Ω","R_0201_0603Metric",116.225000,-125.385000,90.000000,top
"R8","10k","R_0201_0603Metric",117.545000,-128.635000,180.000000,top
"R9","10k","R_0201_0603Metric",145.415000,-139.725000,0.000000,top
"R10","0.05","R_0201_0603Metric",167.675000,-132.192500,-90.000000,top
"R11","10k","R_0201_0603Metric",156.335370,-121.670000,90.000000,top
"R12","10kΩ","R_0201_0603Metric",128.865000,-108.480000,-90.000000,top
"R13","10kΩ","R_0201_0603Metric",127.250000,-102.000000,0.000000,top
"R14","15k","R_0201_0603Metric",170.125000,-143.787500,-90.000000,top
"R15","6k8","R_1206_3216Metric",160.419468,-137.930000,180.000000,top
"R16","150","R_0201_0603Metric",152.585000,-116.575000,0.000000,top
"R17","10k","R_1206_3216Metric",160.369468,-134.830000,180.000000,top
"SW1","SW_DPST_x2","SW_DIP_SPSTx02_Slide_6.7x6.64mm_W6.73mm_P2.54mm_LowProfile_JPin",123.500000,-107.750000,180.000000,top
"SW2","SW_DPST_x2","SW_DIP_SPSTx02_Slide_6.7x6.64mm_W6.73mm_P2.54mm_LowProfile_JPin",134.000000,-97.500000,180.000000,top
"SW3","SW_DPST_x2","SW_DIP_SPSTx02_Slide_6.7x6.64mm_W6.73mm_P2.54mm_LowProfile_JPin",123.750000,-97.750000,180.000000,top
"SW5","SW_Push","SW_PUSH_6mm",142.000000,-95.500000,0.000000,top
"U1","LM2596S-5","TO-263-5_TabPin3",112.100000,-141.400000,180.000000,top
"U2","LM1117DT-3.3","TO-252-3_TabPin2",108.500000,-106.860000,90.000000,top
"U3","PIC24HJ128GP502","SSOP-28_5.3x10.2mm_P0.65mm",145.000000,-118.250000,0.000000,top
"U4","MCP2551-I-SN","SOIC-8_3.9x4.9mm_P1.27mm",120.475000,-125.385000,180.000000,top
"U5","DRV8871DDA","Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias",168.225000,-137.542500,90.000000,top
"U7","VL53L0CXV0DH1","ST_VL53L1x",155.110000,-126.325000,180.000000,top
"U8","MAX3232","SOIC-16W_5.3x10.2mm_P1.27mm",163.080000,-109.500000,90.000000,top
"U9","LM358","SOIC-8_5.3x6.2mm_P1.27mm",152.331968,-135.280000,180.000000,top
"Y1","8MHz","Crystal_HC49-4H_Vertical",131.312500,-121.680000,90.000000,top
