"Id";"Identificador";"Huella";"Cantidad";"Identificación";"Suministrador y ref";
1;"U4";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MCP2551-I-SN";;;
2;"J4";"PinSocket_1x05_P1.27mm_Vertical";1;"Conn_01x05_Pin";;;
3;"TP1,TP3,TP16,TP2,TP12,TP10,TP6,TP7,TP17,TP9,TP18,TP13,TP14,TP11,TP8,TP4,TP5,TP15";"TestPoint_Pad_D1.0mm";18;"TestPoint";;;
4;"C13,C12,C11,C10,C5,C9";"C_0201_0603Metric";6;"100nF";;;
5;"R11,R9,R8";"R_0201_0603Metric";3;"10k";;;
6;"R4";"R_0201_0603Metric";1;"10KΩ";;;
7;"C2,C1,C8";"C_0201_0603Metric";3;"10uF";;;
8;"R3,R12,R13";"R_0201_0603Metric";3;"10kΩ";;;
9;",,";"";3;"";;;
10;"L1";"L_6.3x6.3_H3";1;"33uH";;;
11;"U9";"SOIC-8_5.3x6.2mm_P1.27mm";1;"LM358";;;
12;"U5";"Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias";1;"DRV8871DDA";;;
13;"C17,C6,C7,C16";"C_0201_0603Metric";4;"0.1uF";;;
14;"FB1";"L_0201_0603Metric";1;"FerriteBead";;;
15;"SW3,SW2,SW1";"SW_DIP_SPSTx02_Slide_6.7x6.64mm_W6.73mm_P2.54mm_LowProfile_JPin";3;"SW_DPST_x2";;;
16;"SW5";"SW_PUSH_6mm";1;"SW_Push";;;
17;"R14";"R_0201_0603Metric";1;"15k";;;
18;"C3";"C_0201_0603Metric";1;"220uF";;;
19;"C14,C15";"C_0201_0603Metric";2;"22pF";;;
20;"R10";"R_0201_0603Metric";1;"0.05";;;
21;"U2";"TO-252-3_TabPin2";1;"LM1117DT-3.3";;;
22;"J2,J3";"DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset9.40mm";2;"DE9_Pins";;;
23;"U3";"SSOP-28_5.3x10.2mm_P0.65mm";1;"PIC24HJ128GP502";;;
24;"U8";"SOIC-16W_5.3x10.2mm_P1.27mm";1;"MAX3232";;;
25;"R1,R2";"R_0201_0603Metric";2;"4k7Ω";;;
26;"R6";"R_0201_0603Metric";1;"100Ω";;;
27;"J1,J5";"PinSocket_1x02_P1.27mm_Vertical";2;"Conn_01x02_Pin";;;
28;"C4";"C_0201_0603Metric";1;"100uF";;;
29;"U1";"TO-263-5_TabPin3";1;"LM2596S-5";;;
30;"D1";"D_SMA";1;"SS34";;;
31;"D3";"LED_0201_0603Metric";1;"LED";;;
32;"F1";"Fuse_0402_1005Metric";1;"Fuse";;;
33;"R17";"R_1206_3216Metric";1;"10k";;;
34;"R5";"R_0201_0603Metric";1;"470Ω";;;
35;"Y1";"Crystal_HC49-4H_Vertical";1;"8MHz";;;
36;"R16";"R_0201_0603Metric";1;"150";;;
37;"U7";"ST_VL53L1x";1;"VL53L0CXV0DH1";;;
38;"R15";"R_1206_3216Metric";1;"6k8";;;
39;"M1";"TerminalBlock_CUI_TB007-508-02_1x02_P5.08mm_Horizontal";1;"Motor_DC_ALT";;;
40;"Q1";"TO-220-3_Vertical";1;"IRLZ44N";;;
41;"R7";"R_0201_0603Metric";1;"120Ω";;;
